Rule_ID,Recon_Code,ZONE,STATE,LOCATION,PRODUCT,SUB_PRODUCT,BUSINESS_TYPE,SUB_LINE,INSURER_NAME,INFLOW
RAW_000065,AP2PR142P,SOUTH,ANDHARA PRADESH,VIZAG,PRIVATE CAR,PRIVATE CAR,RO/RN,PKG,CHOLA,"30.00%{OD(W/O CPA -2% Less - Above 1500CC),27.50%{OD(W/O CPA -2% Less - Upto 1000CC),27.50%{OD(W/O CPA -2% Less - Above 1000CC to 1500CC)"
RAW_000066,AP2MI322P,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,AGRICULTURE TRACTOR,RO/RN,PKG,CHOLA,45.00%{NT(W/O CPA -2% Less)
RAW_000067,AP2MI322T,SOUTH,ANDHARA PRADESH,VIZAG,MISC-D,AGRICULTURE TRACTOR,RO/RN,TP,CHOLA,20.00%{NT(W/O CPA -2% Less)
RAW_000068,AP22W101P,SOUTH,ANDHARA PRADESH,VIZAG,2W,BIKE,NEW(1+5),PKG,CHOLA,"40.00%{NT(W/O CPA -2% Less - SUZUKI - Upto 150cc),40.00%{NT(W/O CPA -2% Less - SUZUKI - >150cc-350cc),38.50%{NT(W/O CPA -2% Less - Hero - Upto 150cc),38.50%{NT(W/O CPA -2% Less - Hero - >150cc-350cc),31.00%{NT(W/O CPA -2% Less - Yamaha - Upto 150cc),31.00%{NT(W/O CPA -2% Less - Yamaha - >150cc-350cc),27.00%{NT(W/O CPA -2% Less - TVS - Upto 150cc),27.00%{NT(W/O CPA -2% Less - TVS - >150cc-350cc),17.00%{NT(W/O CPA -2% Less - Honda - Upto 150cc)"
RAW_000069,AP2PC162P,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W-EV,RO/RN,PKG,CHOLA,17.50%{NT(W/O CPA -2% Less)
RAW_000070,AP2PC162T,SOUTH,ANDHARA PRADESH,VIZAG,PCV,PCV 3W-EV,RO/RN,TP,CHOLA,12.50%{NT(W/O CPA -2% Less)
RAW_000071,AP2GC232P,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W-EV,RO/RN,PKG,CHOLA,37.00%{NT(W/O CPA -2% Less)
RAW_000072,AP2GC232T,SOUTH,ANDHARA PRADESH,VIZAG,GCV,GCV 3W-EV,RO/RN,TP,CHOLA,32.00%{NT(W/O CPA -2% Less)
RAW_000073,AP3GC282P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 12000 TO 20000 GVW,RO/RN,PKG,CHOLA,"22.00%{NT(W/O CPA -2% Less - Upto 16K Ton),17.00%{NT(W/O CPA -2% Less - Aove 16K Ton)"
RAW_000074,AP3GC292P,SOUTH,ANDHARA PRADESH,ROAP,GCV,4W - 20000 TO 40000 GVW,RO/RN,PKG,CHOLA,29.50%{NT(W/O CPA -2% Less)
